Version 2026.07.02,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Item Status,Item Number,UPC,Item Description, 2026 MSRP , 2026 MAP ,"Unpackaged Item Dimensions
(L"" x W"" x H"")","Unpackaged Item Weight 
(pounds)","Packaged Item Dimensions
(L"" x W"" x H"")","Packaged Item Weight
(Pounds)","Inner Box Quantity
(Units)","Inner Box Dimensions
(L"" x W"" x H"")","Master Case Pack Dimensions
(L"" x W"" x H"")","Master Case Pack Weight
(Pounds)","Master Case Pack Quantity
(Units)","Pallet Quantity
(Units)",Country of Manufacture, Caliber(s) , Color , Capacity 
,Magazines,,,,,,,,,,,,,,,,,,
,AR-15/M4/M16 Magazines,,,,,,,,,,,,,,,,,,
New ,556MODABDNC30,749355072217,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-A Black Custom UV-Printed Desert Night Camo 30-Round Magazine, $ 24.99 , $ 21.99 ,"2.75"" x 1.13"" x 7.5""",0.32 lbs,"5"" x 1.13"" x 10.75""",0.33 lbs,N/A,N/A,"15"" x 13"" x 10""",18 lbs,50,"2,700",USA,5.56x45mm NATO/.223 Remington,Black,30-Rounds
Pre-Order Only ,556MODABJZZ30,749355072224,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-A Black Custom UV-Printed Jazz 30-Round Magazine, $ 24.99 , $ 21.99 ,"2.75"" x 1.13"" x 7.5""",0.32 lbs,"5"" x 1.13"" x 10.75""",0.33 lbs,N/A,N/A,"15"" x 13"" x 10""",18 lbs,50,"2,700",USA,5.56x45mm NATO/.223 Remington,Black,30-Rounds
New ,556MODABM8130,749355072231,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-A Black Custom UV-Printed M81 Woodland Camo 30-Round Magazine, $ 24.99 , $ 21.99 ,"2.75"" x 1.13"" x 7.5""",0.32 lbs,"5"" x 1.13"" x 10.75""",0.33 lbs,N/A,N/A,"15"" x 13"" x 10""",18 lbs,50,"2,700",USA,5.56x45mm NATO/.223 Remington,Black,30-Rounds
New ,556MODABOF30,749355072248,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-A Black Custom UV-Printed Original Flecktarn Camo 30-Round Magazine, $ 24.99 , $ 21.99 ,"2.75"" x 1.13"" x 7.5""",0.32 lbs,"5"" x 1.13"" x 10.75""",0.33 lbs,N/A,N/A,"15"" x 13"" x 10""",18 lbs,50,"2,700",USA,5.56x45mm NATO/.223 Remington,Black,30-Rounds
New ,556MODABOTS30,749355072255,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-A Black Custom UV-Printed Original Tiger Stripe Camo 30-Round Magazine, $ 24.99 , $ 21.99 ,"2.75"" x 1.13"" x 7.5""",0.32 lbs,"5"" x 1.13"" x 10.75""",0.33 lbs,N/A,N/A,"15"" x 13"" x 10""",18 lbs,50,"2,700",USA,5.56x45mm NATO/.223 Remington,Black,30-Rounds
New ,556MODABUTS30,749355072262,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-A Black Custom UV-Printed Urban Tiger Stripe Camo 30-Round Magazine, $ 24.99 , $ 21.99 ,"2.75"" x 1.13"" x 7.5""",0.32 lbs,"5"" x 1.13"" x 10.75""",0.33 lbs,N/A,N/A,"15"" x 13"" x 10""",18 lbs,50,"2,700",USA,5.56x45mm NATO/.223 Remington,Black,30-Rounds
New ,556MODACDCC30,749355072279,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-A Coyote Brown Custom UV-Printed Desert Chocolate Chip Camo 30-Round Magazine, $ 24.99 , $ 21.99 ,"2.75"" x 1.13"" x 7.5""",0.32 lbs,"5"" x 1.13"" x 10.75""",0.33 lbs,N/A,N/A,"15"" x 13"" x 10""",18 lbs,50,"2,700",USA,5.56x45mm NATO/.223 Remington,Coyote Brown,30-Rounds
New ,556MODACDFG30,749355072118,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-A Coyote Brown Custom UV-Printed Desert Frogskin Camo 30-Round Magazine, $ 24.99 , $ 21.99 ,"2.75"" x 1.13"" x 7.5""",0.32 lbs,"5"" x 1.13"" x 10.75""",0.33 lbs,N/A,N/A,"15"" x 13"" x 10""",18 lbs,50,"2,700",USA,5.56x45mm NATO/.223 Remington,Coyote Brown,30-Rounds
New ,556MODACMBS30,749355072286,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-A Coyote Brown Custom UV-Printed Maple Bar Sprinkle Donut 30-Round Magazine, $ 24.99 , $ 21.99 ,"2.75"" x 1.13"" x 7.5""",0.32 lbs,"5"" x 1.13"" x 10.75""",0.33 lbs,N/A,N/A,"15"" x 13"" x 10""",18 lbs,50,"2,700",USA,5.56x45mm NATO/.223 Remington,Coyote Brown,30-Rounds
New ,556MODACRBS30,749355072293,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-A Coyote Brown Custom UV-Printed Rhodesian Brushstroke Camo 30-Round Magazine, $ 24.99 , $ 21.99 ,"2.75"" x 1.13"" x 7.5""",0.32 lbs,"5"" x 1.13"" x 10.75""",0.33 lbs,N/A,N/A,"15"" x 13"" x 10""",18 lbs,50,"2,700",USA,5.56x45mm NATO/.223 Remington,Coyote Brown,30-Rounds
,,,,,,,,,,,,,,,,,,,
New ,556MODAB1030,749355072057,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-A Black 10/30 10-Round Magazine - Restricted State Compliant, $ 17.49 , $ 14.49 ,"2.75"" x 1.13"" x 7.5""",0.34 lbs,"5"" x 1.13"" x 10.75""",0.35 lbs,N/A,N/A,"15"" x 13"" x 10""",20 lbs,50,"2,700",USA,5.56x45mm NATO/.223 Remington,Black,10-Rounds
New ,556MODAB1520,749355072002,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington/.300 AAC Blackout Mod-A Black 15/20 15-Round Straight Magazine - CO Compliant, $ 23.49 , $ 20.49 ,"2.75"" x 1.13"" x 5.88""",0.27 lbs,"4.75"" x 1.13"" x 9""",0.28 lbs,N/A,N/A,"15"" x 13"" x 10""",16 lbs,50,"2,700",USA,5.56x45mm NATO/.223 Remington/300 AAC Blackout,Black,15-Rounds
New ,556MODABLK10,749355072019,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-A Black 10-Round Magazine, $ 15.99 , $ 12.99 ,"2.75"" x 1.13"" x 3.75""",0.20 lbs,"4.75"" x 1.13"" x 9""",0.21 lbs,N/A,N/A,"15"" x 13"" x 10""",12 lbs,50,"2,700",USA,5.56x45mm NATO/.223 Remington,Black,10-Rounds
New ,556MODABLK20,749355071739,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington/.300 AAC Blackout Mod-A Black 20-Round Straight Magazine, $ 20.99 , $ 17.99 ,"2.75"" x 1.13"" x 5.88""",0.26 lbs,"4.75"" x 1.13"" x 9""",0.27 lbs,N/A,N/A,"15"" x 13"" x 10""",15 lbs,50,"2,700",USA,5.56x45mm NATO/.223 Remington/300 AAC Blackout,Black,20-Rounds
New ,556MODABLK30,749355071722,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-A Black 30-Round Magazine, $ 14.99 , $ 11.99 ,"2.75"" x 1.13"" x 7.5""",0.32 lbs,"5"" x 1.13"" x 10.75""",0.33 lbs,N/A,N/A,"15"" x 13"" x 10""",18 lbs,50,"2,700",USA,5.56x45mm NATO/.223 Remington,Black,30-Rounds
New ,A2MAGDRUMMODA,749355071715,Amend2® 30-Gallon Magazine Display Drum Dump Bin with 200 units of 556MODABLK30 Magazines," See ""556MODABLK30"" "," See ""556MODABLK30"" ",N/A,N/A,N/A,N/A,N/A,N/A,"18.75"" x 18.75"" x 29.88""",82 lbs,1,5,USA,5.56x45mm NATO/.223 Remington,Black,30-Rounds
,,,,,,,,,,,,,,,,,,,
New ,556MODACYT10,749355072026,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-A Coyote Brown 10-Round Magazine, $ 15.99 , $ 12.99 ,"2.75"" x 1.13"" x 3.75""",0.20 lbs,"4.75"" x 1.13"" x 9""",0.21 lbs,N/A,N/A,"15"" x 13"" x 10""",12 lbs,50,"2,700",USA,5.56x45mm NATO/.223 Remington,Coyote Brown,10-Rounds
