Item Number / SKU,File Name,Link
556MODCS1030,556MODCS1030 - AR-15 5.56 Mod-C Translucent Smoke 10:30 10rd Magazine Sell Sheet.pdf,https://drive.google.com/file/d/1WpNlhRXC_c4nUiO15wZa-EBr3RncWH2A/view?usp=drivesdk
556MODCSGFT30,556MODCSGFT30 - AR-15 5.56 Mod-C Translucent Smoke Custom UV-Printed Flying Tiger 30rd Magazine Sell Sheet.pdf,https://drive.google.com/file/d/1FgAu9ALq7qcBwu8GbtgmEzRC3AB_HKdf/view?usp=drivesdk
556MODCSMK30,556MODCSMK30 - AR-15 5.56 Mod-C Translucent Smoke 30rd Magazine Sell Sheet.pdf,https://drive.google.com/file/d/1GjlErEHyTWqzN4deVCGCMgN1b_1FTI4c/view?usp=drivesdk
556MODCSMOM30,556MODCSMOM30 - AR-15 5.56 Mod-C Translucent Smoke Custom UV-Printed Man On The Moon 30rd Magazine Sell Sheet.pdf,https://drive.google.com/file/d/1tyJdoTC6lZdRdfW08vRm6quO0pVZEjV0/view?usp=drivesdk
556MODCSPR30,556MODCSPR30 - AR-15 5.56 Mod-C Translucent Pink Custom UV-Printed Sprinkle Donut 30rd Magazine Sell Sheet.pdf,https://drive.google.com/file/d/1SHdnTKyspcoueTBTQBTYFS8PpisdUs0N/view?usp=drivesdk
556MODCYLW30,556MODCYLW30 - AR-15 5.56 Mod-C Translucent Yellow 30rd Magazine Sell Sheet.pdf,https://drive.google.com/file/d/19lqy2Uy0uxO7DYkchmuClPDl-ZVDYdM2/view?usp=drivesdk
556SPRINK1030,556SPRINK1030 - AR-15 5.56 Mod-2 Pink Custom UV-Printed Sprinkle Donut 10:30 10rd Magazine Sell Sheet.pdf,https://drive.google.com/file/d/1nUACnT4sBIwW_GQvRKTQnY8Oc92zo0c4/view?usp=drivesdk
556SPRINKLE30,556SPRINKLE30 - AR-15 5.56 Mod-2 Pink Custom UV-Printed Sprinkle Donut Magazine Sell Sheet.pdf,https://drive.google.com/file/d/1XAyNKYsCOpxz2tUAHr_8M4PEs85bPsbn/view?usp=drivesdk
65GRENDBLK10,65GRENDBLK10 - AR-15 6mm ARC:22 ARC:6.5 Grendel Mod-2 Black 10rd Magazine Sell Sheet.pdf,https://drive.google.com/file/d/1OBv4XDtmro1IO0FLciq4r2cM10Z3tZuM/view?usp=drivesdk
6AMODABLK15,6AMODABLK15 - AR-15 6mm ARC:22 ARC:338 ARC:6.5 Grendel Mod-A Black 15rd Magazine Sell Sheet.pdf,https://drive.google.com/file/d/1ayyD8m4SmhVZ5rou0L9cbGyB3pCwO58M/view?usp=drivesdk
