,,Amend2 & Techna Clip Rough Item Lead Times,,,,,,,,,,,,,,,,,,,,,,
,,Updated Biweekly,,,,,,,,,,,,,,,,,,,,,,
,,Last updated on 07/27/2026,,,,,,,,,,,,,,,,,,,,,,
order,SKU,Brief Item Description,Status,Rough ETA / Lead Time,Estimated Ship Date,Lead Time - Low,Lead Time - High,Lead Time - Unit,Built From SKU 1,Built From SKU - 2,Built From SKU - 3,Built From SKU - 4,Built From SKU - 5,Built From SKU - 6,Built From SKU - 7,Built From SKU - 8,Customization Add-On (weeks),Max Component Low (helper),Max Component High (helper),Component Is Open-Ended? (helper),Any Component Missing Data?,"Low Date (helper, hidden)","	High Date (helper, hidden)",Ship Date Overdue?
62,556MODACDCC30,Mod-A AR-15 5.56/.223 Coyote Brown Custom UV-Printed Desert Chocolate Chip Camo 30rd Magazine,Made to Order,0 - 6 weeks,08/01/2026 - 09/12/2026,0,6,Weeks,556MODACYT30,,,,,,,,2,08/01/2026,08/29/2026,FALSE,FALSE,08/01/2026,09/12/2026,FALSE
63,556MODACDFG30,Mod-A AR-15 5.56/.223 Coyote Brown Custom UV-Printed Desert Frogskin Camo 30rd Magazine,Made to Order,0 - 6 weeks,08/01/2026 - 09/12/2026,0,6,Weeks,556MODACYT30,,,,,,,,2,08/01/2026,08/29/2026,FALSE,FALSE,08/01/2026,09/12/2026,FALSE
64,556MODACMBS30,Mod-A AR-15 5.56/.223 Coyote Brown Custom UV-Printed Maple Bar Sprinkle Donut 30rd Magazine,Made to Order,0 - 6 weeks,08/01/2026 - 09/12/2026,0,6,Weeks,556MODACYT30,,,,,,,,2,08/01/2026,08/29/2026,FALSE,FALSE,08/01/2026,09/12/2026,FALSE
65,556MODACRBS30,Mod-A AR-15 5.56/.223 Coyote Brown Custom UV-Printed Rhodesian Brushstroke Camo 30rd Magazine,Made to Order,0 - 6 weeks,08/01/2026 - 09/12/2026,0,6,Weeks,556MODACYT30,,,,,,,,2,08/01/2026,08/29/2026,FALSE,FALSE,08/01/2026,09/12/2026,FALSE
66,556MODAB1030,Mod-A AR-15 5.56/.223 Black 10/30 10rd Magazine - Restricted State Compliant,Made to Order,0 - 6 weeks,08/01/2026 - 09/12/2026,0,6,Weeks,556MODABLK30,,,,,,,,2,08/01/2026,08/29/2026,FALSE,FALSE,08/01/2026,09/12/2026,FALSE
67,556MODAB1520,Mod-A AR-15 5.56/.223 Black 15/20 15rd Magazine - Colorado Compliant,Made to Order,0 - 6 weeks,08/01/2026 - 09/15/2026,0,6,Weeks,556MODABLK20,,,,,,,,2,08/01/2026,09/01/2026,FALSE,FALSE,08/01/2026,09/15/2026,FALSE
68,556MODABLK10,Mod-A AR-15 5.56/.223 Black 10rd Magazine,Pre-Order Only,4 - 9 weeks,09/01/2026 - 10/01/2026,4,9,Weeks,,,,,,,,,,,,FALSE,FALSE,09/01/2026,10/01/2026,FALSE
69,556MODABLK20,Mod-A AR-15 5.56/.223/.300 Blackout Black 20rd Magazine,Pre-Order Only,0 - 4 weeks,08/01/2026 - 09/01/2026,0,4,Weeks,,,,,,,,,,,,FALSE,FALSE,08/01/2026,09/01/2026,FALSE
70,556MODABLK30,Mod-A AR-15 5.56/.223 Black 30rd Magazine,In-Stock,Ships ASAP (up to 4 weeks),08/01/2026 - 08/29/2026,0,4,Weeks,,,,,,,,,,,,FALSE,FALSE,08/01/2026,08/29/2026,FALSE
71,A2MAGDRUMMODA,Mod-A AR-15 5.56/.223 Magazine Display Drum Dump Bin with 200 units of 556MODABLK30,In-Stock,Ships ASAP (up to 4 weeks),08/01/2026 - 09/12/2026,0,6,Weeks,556MODABLK30,,,,,,,,2,08/01/2026,08/29/2026,FALSE,FALSE,08/01/2026,09/12/2026,FALSE
72,556MODACYT10,Mod-A AR-15 5.56/.223 Coyote Brown 10rd Magazine,Pre-Order Only,4 - 9 weeks,09/01/2026 - 10/01/2026,4,9,Weeks,,,,,,,,,,,,FALSE,FALSE,09/01/2026,10/01/2026,FALSE
73,556MODACYT20,Mod-A AR-15 5.56/.223/.300 Blackout Coyote Brown 20rd Magazine,Pre-Order Only,0 - 4 weeks,08/01/2026 - 09/01/2026,0,4,Weeks,,,,,,,,,,,,FALSE,FALSE,08/01/2026,09/01/2026,FALSE
74,556MODACYT30,Mod-A AR-15 5.56/.223 Coyote Brown 30rd Magazine,In-Stock,Ships ASAP (up to 4 weeks),08/01/2026 - 08/29/2026,0,4,Weeks,,,,,,,,,,,,FALSE,FALSE,08/01/2026,08/29/2026,FALSE
75,6AMODABLK15,Mod-A AR-15 6mm ARC/22 ARC/338 ARC/6.5 Grendel Black 20rd Magazine,Pre-Order Only,22 - 26 weeks,01/01/2027 - 02/01/2027,22,26,Weeks,,,,,,,,,,,,FALSE,FALSE,01/01/2027,02/01/2027,FALSE
76,6AMODACYT15,Mod-A AR-15 6mm ARC/22 ARC/338 ARC/6.5 Grendel Coyote Brown 20rd Magazine,Pre-Order Only,22 - 26 weeks,01/01/2027 - 02/01/2027,22,26,Weeks,,,,,,,,,,,,FALSE,FALSE,01/01/2027,02/01/2027,FALSE
77,458MODCSMK10,Mod-C AR-15 .458 SOCOM/.50 Beowulf Translucent Smoke 10rd Magazine,Discontinued,N/A,Cannot Be Fulfilled / Discontinued,,,,,,,,,,,,,,,FALSE,FALSE,,,FALSE
78,556MODCBAN30,Mod-C AR-15 5.56/.223 Translucent Yellow Custom UV-Printed Banana 30rd Magazine,Backordered,13 - 19 weeks,11/01/2026 - 12/15/2026,13,19,Weeks,556MODCYLW30,,,,,,,,2,11/01/2026,12/01/2026,FALSE,FALSE,11/01/2026,12/15/2026,FALSE
79,556MODCDTOM30,"Mod-C AR-15 5.56/.223 Translucent Yellow Custom UV-Printed ""Don't Tread On Me"" 30rd Magazine",Backordered,13 - 19 weeks,11/01/2026 - 12/15/2026,13,19,Weeks,556MODCYLW30,,,,,,,,2,11/01/2026,12/01/2026,FALSE,FALSE,11/01/2026,12/15/2026,FALSE
80,556MODCGGST30,Mod-C AR-15 5.56/.223 Translucent Glow-In-The-Dark Custom UV-Printed Tactical Ghost 30rd Magazine,Made to Order,4 - 11 weeks,09/01/2026 - 10/15/2026,4,11,Weeks,556MODCGLOW30,,,,,,,,2,09/01/2026,10/01/2026,FALSE,FALSE,09/01/2026,10/15/2026,FALSE
81,556MODCJAZZ30,Mod-C AR-15 5.56/.223 Translucent Teal Custom UV-Printed Jazz 30rd Magazine,Discontinued,N/A,Cannot Be Fulfilled / Discontinued,,,,,,,,,,,,,,,FALSE,FALSE,,,FALSE
82,556MODCOACN30,Mod-C AR-15 5.56/.223 Translucent Olive Drab Green 30rd Magazine,Backordered,4 - 11 weeks,09/01/2026 - 10/15/2026,4,11,Weeks,556MODCODG30,,,,,,,,2,09/01/2026,10/01/2026,FALSE,FALSE,09/01/2026,10/15/2026,FALSE
83,556MODCSGFT30,Mod-C AR-15 5.56/.223 Translucent Smoke Custom UV-Printed Flying Tiger 30rd Magazine,Made to Order,4 - 11 weeks,09/01/2026 - 10/15/2026,4,11,Weeks,556MODCSMK30,,,,,,,,2,09/01/2026,10/01/2026,FALSE,FALSE,09/01/2026,10/15/2026,FALSE
84,556MODCSMOM30,Mod-C AR-15 5.56/.223 Translucent Smoke Custom UV-Printed Man On The Moon 30rd Magazine,Made to Order,4 - 11 weeks,09/01/2026 - 10/15/2026,4,11,Weeks,556MODCSMK30,,,,,,,,2,09/01/2026,10/01/2026,FALSE,FALSE,09/01/2026,10/15/2026,FALSE
85,556MODCSPR30,Mod-C AR-15 5.56/.223 Translucent Pink Custom UV-Printed Sprinkle Donut 30rd Magazine,Made to Order,13 - 19 weeks,11/01/2026 - 12/15/2026,13,19,Weeks,556MODCPNK30,,,,,,,,2,11/01/2026,12/01/2026,FALSE,FALSE,11/01/2026,12/15/2026,FALSE
86,556MODCTGST30,Mod-C AR-15 5.56/.223 Translucent Smoke Custom UV-Printed Tiger Stripe 30rd Magazine,Discontinued,N/A,Cannot Be Fulfilled / Discontinued,,,,,,,,,,,,,,,FALSE,FALSE,,,FALSE
87,556MODCVICE30,Mod-C AR-15 5.56/.223 Translucent Teal Custom UV-Printed Miami Vice 30rd Magazine,Discontinued,N/A,Cannot Be Fulfilled / Discontinued,,,,,,,,,,,,,,,FALSE,FALSE,,,FALSE
88,556MODCGLOW30,Mod-C AR-15 5.56/.223 Translucent Glow-In-The-Dark 30rd Magazine,Backordered,4 - 9 weeks,09/01/2026 - 10/01/2026,4,9,Weeks,,,,,,,,,,,,FALSE,FALSE,09/01/2026,10/01/2026,FALSE
89,556MODCODG30,Mod-C AR-15 5.56/.223 Translucent Olive Drab Green 30rd Magazine,Backordered,4 - 9 weeks,09/01/2026 - 10/01/2026,4,9,Weeks,,,,,,,,,,,,FALSE,FALSE,09/01/2026,10/01/2026,FALSE
